Item,Region,Price
Tritanium,Cobalt Edge,2.6711111111111111111111111111
Tritanium,Querious,2.8622222222222222222222222222
Tritanium,Fountain,3.5508333333333333333333333334
Tritanium,Sinq Laison,4.0491387918724694938677813667
Tritanium,Wicked Creek,3.2515705128205128205128205127
Tritanium,Detorid,2.676
Tritanium,Immensea,3.0272636363636363636363636364
Tritanium,Derelik,4.0580513988095238095238095238
Tritanium,Syndicate,3.268495
Tritanium,Branch,3.221813725490196078431372549
Tritanium,Malpais,4.27
Tritanium,Feythabolis,3.8142714285714285714285714286
Tritanium,Insmother,4.062842857142857142857142857
Tritanium,Domain,3.6653080904082980377301587926
Tritanium,Metropolis,3.9538500167771450631396636017
Tritanium,Scalding Pass,2.12125
Tritanium,Esoteria,4.708989010989010989010989011
Tritanium,Vale of the Silent,3.40
Tritanium,Tenal,3.5593133333333333333333333333
Tritanium,Kador,4.1663266666666666666666666667
Tritanium,The Kalevala Expanse,2.81
Tritanium,The Citadel,4.047134365235382689855620008
Tritanium,Aridia,3.5266555555555555555555555556
Tritanium,Impass,4.83915
Tritanium,Deklein,3.9159253676470588235294117647
Tritanium,Essence,4.1215410005036057180257317967
Tritanium,Kor-Azor,3.8835411728623939722691422111
Tritanium,Placid,3.8689790711619835496600580041
Tritanium,Tash-Murkon,4.215128730534998458217699661
Tritanium,The Bleak Lands,3.35780625
Tritanium,Tribute,2.082
Tritanium,Lonetrek,4.318421713142701717906270897
Tritanium,Black Rise,4.0795625
Tritanium,The Forge,4.0902037867408960038942141224
Tritanium,Curse,3.8783190256410256410256410257
Tritanium,Khanid,3.744428478331704138155751059
Tritanium,Solitude,4.0306582307692307692307692308
Tritanium,Genesis,3.9571985043433666108144471799
Tritanium,Paragon Soul,2.697475
Tritanium,Fade,3.375
Tritanium,Everyshore,4.1007388501759334062066475786
Pyerite,Syndicate,7.5607142857142857142857142857
Pyerite,Placid,8.607600419706633628535156549
Pyerite,Devoid,9.379248192181381836554250348
Pyerite,Lonetrek,10.618993456038276218579961028
Pyerite,The Kalevala Expanse,8.556
Pyerite,Fountain,7.0619
Pyerite,Fade,4.71398
Pyerite,Kador,10.265659745624745624745624746
Pyerite,The Citadel,9.755247127055739958965765417
Pyerite,Geminate,5.6911
Pyerite,Khanid,9.45489952956989247311827957
Pyerite,Heimatar,9.061733141944939332089521438
